,station,sign,frontiere_bas,frontiere_haut
141,31019,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
142,31023,15,"['[1100000]', '[0000101]', '[1001000]', '[0000011]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0001001]', '[0100010]', '[1000001]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010000]']",['[1111111]']
143,31024,15,"['[0000010]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
144,31025,15,"['[0000101]', '[0000010]', '[0001000]', '[1000000]', '[0100000]', '[0010000]']",['[1111111]']
145,31705,15,"['[0001000]', '[1000000]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
146,31708,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']","['[1101111]', '[1110111]']"
147,32302,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
148,32305,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
149,32306,15,"['[0000100]', '[0100000]', '[0001000]', '[0000001]', '[1000000]', '[0000010]']",['[1101111]']
150,32601,15,"['[1010000]', '[0000101]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[1000100]', '[1000010]', '[0000110]', '[0001001]', '[0010010]', '[1000001]', '[0001010]', '[0001100]', '[0010100]']",['[1111111]']
151,32603,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0010000]']","['[1101111]', '[1110111]']"
152,32604,15,"['[0100110]', '[1001001]', '[0011100]', '[1000101]', '[0101100]', '[1011000]', '[1010100]', '[1000011]', '[0110100]', '[0001101]', '[1100001]', '[0010101]', '[0110010]', '[0011010]', '[0001011]', '[1000110]', '[0111000]', '[1110000]', '[0001110]', '[0100011]', '[1010010]', '[0101001]', '[0101010]', '[1100100]', '[0110001]', '[0100101]', '[0011001]', '[1100010]', '[0000111]', '[1101000]', '[0010011]', '[0010110]', '[1001010]', '[1010001]', '[1001100]']",['[1111111]']
153,32605,15,"['[0000100]', '[0100000]', '[0001000]', '[0000001]', '[0000010]']",['[0101111]']
154,40014,15,"['[0000100]', '[0100000]', '[0001000]', '[0000001]', '[0010000]', '[1000000]', '[0000010]']","['[1100101]', '[1101010]', '[1010011]', '[0101011]', '[1101001]', '[1011010]', '[1101100]', '[1010101]', '[1011100]', '[1100011]', '[1100110]', '[0110011]', '[1001011]', '[0110100]', '[1011001]', '[1010110]']"
155,41202,15,"['[0000101]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[0000110]', '[0001001]', '[0100010]', '[0010010]', '[1000000]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
156,41302,15,"['[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
157,42026,15,"['[0001000]', '[0000110]', '[1000000]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
158,42703,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
159,42707,15,"['[0000010]', '[0001000]', '[1000000]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
160,43006,15,"['[0000010]', '[0001000]', '[1000000]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
161,46001,15,"['[0000100]', '[0100000]', '[0001000]', '[0000001]', '[0010000]', '[1000000]', '[0000010]']","['[0100100]', '[0100010]', '[1010010]', '[0100001]', '[0101000]', '[1010100]', '[1010001]', '[1001000]']"
162,48001,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
163,48002,15,"['[1010000]', '[1100000]', '[0000101]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0100010]', '[0010010]', '[1000001]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
164,48005,15,"['[0011000]', '[0000110]', '[0100010]', '[0010010]', '[1000000]', '[0001010]', '[0100100]', '[0001100]', '[0000001]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
165,51001,15,"['[0000100]', '[0100000]', '[0001000]', '[0000001]', '[0010000]', '[1000000]', '[0000010]']","['[1000110]', '[0100110]', '[0011000]', '[0001001]', '[0001110]', '[0010110]', '[0100001]', '[0101000]', '[1100000]', '[0000101]', '[1010001]', '[1001000]', '[0110000]', '[0000011]']"
166,1001,-15,"['[0100000]', '[0001000]', '[0000001]', '[0010000]', '[0000010]']",['[0111011]']
167,1013,-15,"['[0100110]', '[1001001]', '[0011100]', '[1000101]', '[0101100]', '[1011000]', '[1010100]', '[1000011]', '[0110100]', '[0001101]', '[1100001]', '[0010101]', '[0110010]', '[0011010]', '[0001011]', '[1000110]', '[0111000]', '[1110000]', '[0001110]', '[0100011]', '[1010010]', '[0101001]', '[0101010]', '[1100100]', '[0110001]', '[0100101]', '[0011001]', '[1100010]', '[0000111]', '[1101000]', '[0010011]', '[0010110]', '[1001010]', '[1010001]', '[1001100]']",['[1111111]']
168,1016,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
169,1018,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
170,1025,-15,"['[0000010]', '[0001000]', '[1000000]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
171,1026,-15,"['[1010000]', '[0011100]', '[1100000]', '[0000101]', '[0101100]', '[0110100]', '[0000011]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0111000]', '[0100010]', '[0010010]', '[1000001]']",['[1111111]']
172,1102,-15,"['[1010000]', '[1100000]', '[0000101]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
173,2001,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
174,2017,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
175,2101,-15,"['[1010000]', '[1100000]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[1000010]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0000100]', '[0001010]', '[0101000]', '[0110000]']","['[1111101]', '[1111011]']"
176,3001,-15,"['[0000110]', '[0001001]', '[0100000]', '[0001010]', '[0001100]', '[0010000]']","['[1101111]', '[1011111]', '[1110111]']"
177,3005,-15,"['[0100110]', '[0011100]', '[1000101]', '[0101100]', '[1011000]', '[1010100]', '[0110100]', '[0001101]', '[0010101]', '[0110010]', '[0011010]', '[1000110]', '[0111000]', '[1110000]', '[0001110]', '[1010010]', '[0101010]', '[1100100]', '[1100010]', '[1101000]', '[0010110]', '[1001010]', '[1001100]']",['[1111111]']
178,3006,-15,"['[0100110]', '[1001001]', '[1000011]', '[0110100]', '[0001101]', '[0011000]', '[1100001]', '[0010101]', '[0110010]', '[1110000]', '[0100011]', '[1010010]', '[0110001]', '[0100101]', '[1100010]', '[0001010]', '[0000111]', '[0010011]', '[0010110]', '[0101000]', '[1010001]', '[1001100]']",['[1111111]']
179,3007,-15,"['[1001001]', '[0011100]', '[1000101]', '[1011000]', '[1010100]', '[1000011]', '[0001101]', '[1100001]', '[0010101]', '[0110010]', '[0011010]', '[0001011]', '[1000110]', '[0111000]', '[1110000]', '[0001110]', '[0100011]', '[1010010]', '[0101001]', '[0101010]', '[0110001]', '[0011001]', '[1100010]', '[0100100]', '[0000111]', '[1101000]', '[0010011]', '[0010110]', '[1001010]', '[1010001]', '[1001100]']",['[1111111]']
180,3012,-15,"['[1010000]', '[0000010]', '[0001000]', '[1000100]', '[0100000]', '[0000001]', '[0010100]']",['[1111111]']
181,3102,-15,"['[1000110]', '[0100110]', '[1100101]', '[1010011]', '[0001110]', '[1101001]', '[0000111]', '[1110010]', '[1111000]', '[0011011]', '[0111001]', '[1001101]', '[1010101]', '[1011010]', '[1011100]', '[0101010]', '[1100011]', '[0101100]', '[1001011]', '[0110011]', '[0110101]', '[1011001]', '[0011101]', '[1110100]']",['[1111111]']
182,4003,-15,"['[1010000]', '[1100000]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[1000010]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0001010]', '[0001100]', '[0101000]', '[0110000]']",['[1111111]']
183,4007,-15,"['[1010000]', '[1100000]', '[0000101]', '[1001000]', '[0011000]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
184,4011,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
185,4013,-15,"['[1100000]', '[0000101]', '[0000011]', '[0001000]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0100010]', '[0010010]', '[1000001]', '[0100100]', '[0010100]', '[0110000]']",['[1111111]']
186,4015,-15,"['[1010000]', '[0011100]', '[1100000]', '[0101100]', '[0110100]', '[0001101]', '[0000011]', '[0100001]', '[1000100]', '[0010101]', '[1000010]', '[0011010]', '[0111000]', '[0001110]', '[0100010]', '[1000001]', '[0011001]', '[0010110]']",['[1111111]']
187,4016,-15,"['[1001001]', '[1000101]', '[1011000]', '[1010100]', '[1000011]', '[0110101]', '[0011101]', '[0101101]', '[0101011]', '[1100001]', '[0111001]', '[0110011]', '[0001111]', '[0101110]', '[1000110]', '[1110000]', '[1010010]', '[0011011]', '[0100111]', '[0110110]', '[1100100]', '[0011110]', '[0111010]', '[0010111]', '[1100010]', '[0111100]', '[1101000]', '[1001010]', '[1010001]', '[1001100]']",['[1111111]']
188,4018,-15,"['[0100110]', '[1001001]', '[0011100]', '[1000101]', '[0101100]', '[1011000]', '[1010100]', '[1000011]', '[0110100]', '[0001101]', '[1100001]', '[0010101]', '[0110010]', '[0011010]', '[0001011]', '[1000110]', '[0111000]', '[1110000]', '[0001110]', '[0100011]', '[1010010]', '[0101001]', '[0101010]', '[1100100]', '[0110001]', '[0100101]', '[0011001]', '[1100010]', '[0000111]', '[1101000]', '[0010011]', '[0010110]', '[1001010]', '[1010001]', '[1001100]']",['[1111111]']
189,4019,-15,"['[0000011]', '[0011000]', '[0010001]', '[0100001]', '[0001001]', '[0100010]', '[0010010]', '[1000000]', '[0001010]', '[0101000]', '[0110000]']",['[1111111]']
190,4101,-15,"['[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
191,4108,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
192,4110,-15,"['[0011000]', '[0100100]', '[0001001]', '[0001100]', '[0100001]', '[0101000]', '[0010101]', '[0110000]']",['[0111111]']
193,5019,-15,"['[1010000]', '[1100000]', '[0000101]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
194,5026,-15,"['[0000010]', '[0100001]', '[1000000]']",['[1111111]']
195,5027,-15,"['[1000000]', '[0000001]', '[0101000]', '[0010000]']",['[1111111]']
196,5034,-15,"['[0010111]', '[1010000]', '[1000100]', '[1100000]', '[1000001]', '[0100111]', '[0110110]', '[1000010]', '[0110011]']",['[1111111]']
197,5115,-15,"['[0000100]', '[0100000]', '[0001000]', '[0010000]', '[0000011]']","['[0101111]', '[0011111]']"
198,5116,-15,"['[1001001]', '[1011000]', '[1000011]', '[1100001]', '[0110010]', '[0011010]', '[0001011]', '[0111000]', '[1110000]', '[0100011]', '[1010010]', '[0101001]', '[0101010]', '[0110001]', '[0011001]', '[1100010]', '[1101000]', '[0010011]', '[1001010]', '[1010001]']",['[1111111]']
199,5123,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0010000]']",['[1111111]']
200,6013,-15,"['[1010000]', '[1100000]', '[0000101]', '[1001000]', '[0000010]', '[0011000]', '[0010001]', '[0100001]', '[1000100]', '[0001001]', '[1000001]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
201,6015,-15,"['[1010000]', '[1100000]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[1000010]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0001010]', '[0101000]', '[0110000]']",['[1111111]']
202,6016,-15,"['[1010000]', '[1100000]', '[0000101]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
203,6020,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
204,6025,-15,"['[0000101]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[0000110]', '[0001001]', '[0100010]', '[0010010]', '[1000000]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
205,6026,-15,"['[1010000]', '[1100000]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0001010]', '[0101000]', '[0110000]']",['[1111111]']
206,6031,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
207,6032,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
208,6103,-15,['[1111101]'],['[1111111]']
209,6107,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
210,6108,-15,"['[0100000]', '[0010000]']",['[0111011]']
211,7013,-15,"['[0100110]', '[1001001]', '[0011100]', '[1000101]', '[1011000]', '[1010100]', '[1000011]', '[0110100]', '[1100001]', '[0010101]', '[0110010]', '[0011010]', '[0001011]', '[1000110]', '[0111000]', '[1110000]', '[0001110]', '[0100011]', '[1010010]', '[0101001]', '[0101010]', '[1100100]', '[0110001]', '[0100101]', '[0011001]', '[1100010]', '[0000111]', '[1101000]', '[0010011]', '[0010110]', '[1001010]', '[1010001]', '[1001100]']",['[1111111]']
212,7015,-15,"['[0001000]', '[0000110]', '[1000000]', '[0100000]', '[0000001]', '[0010000]']","['[1011111]', '[0111111]']"
213,7016,-15,"['[1100101]', '[1101010]', '[0010111]', '[0101101]', '[1010011]', '[0101011]', '[1101001]', '[0111100]', '[1110010]', '[1000111]', '[1111000]', '[0011011]', '[1001110]', '[1101100]', '[0111001]', '[0100111]', '[1001101]', '[1010101]', '[1011010]', '[1011100]', '[1100011]', '[0110110]', '[1100110]', '[1110001]', '[1001011]', '[0110011]', '[0011110]', '[0110101]', '[0001111]', '[0101110]', '[1011001]', '[0011101]', '[1110100]', '[1010110]', '[0111010]']",['[1111111]']
214,7023,-15,"['[1001001]', '[0000101]', '[1011000]', '[1000011]', '[1100001]', '[1000100]', '[0000110]', '[0110010]', '[0011010]', '[0001011]', '[0111000]', '[1110000]', '[0100011]', '[1010010]', '[0101001]', '[0101010]', '[0110001]', '[0011001]', '[1100010]', '[0100100]', '[1101000]', '[0010011]', '[0001100]', '[1001010]', '[1010001]', '[0010100]']",['[1111111]']
215,8015,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
216,8016,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
217,9101,-15,"['[0000100]', '[0100000]', '[0001000]', '[0000001]', '[0000010]']",['[0101111]']
218,10004,-15,"['[1010000]', '[1100000]', '[0000101]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[0000110]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
219,10005,-15,"['[1010000]', '[1100000]', '[0000101]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
220,10014,-15,"['[0100000]', '[0001000]', '[0000101]', '[0000110]', '[0010000]', '[1000000]', '[0000011]']","['[0101101]', '[0100011]', '[0000111]', '[1110101]', '[0010011]', '[1001101]', '[1000011]', '[0011101]', '[0001011]']"
221,10042,-15,"['[0100110]', '[1001001]', '[0011100]', '[1000101]', '[0101100]', '[1011000]', '[1010100]', '[1000011]', '[0110100]', '[0001101]', '[1100001]', '[0010101]', '[0110010]', '[0011010]', '[0001011]', '[1000110]', '[0111000]', '[1110000]', '[0001110]', '[0100011]', '[1010010]', '[0101001]', '[0101010]', '[1100100]', '[0110001]', '[0100101]', '[0011001]', '[1100010]', '[0000111]', '[1101000]', '[0010011]', '[0010110]', '[1001010]', '[1010001]', '[1001100]']",['[1111111]']
222,11004,-15,"['[1010000]', '[0011100]', '[1000101]', '[0101100]', '[1000011]', '[0010001]', '[0100001]', '[0001011]', '[1000110]', '[0100010]', '[0010010]', '[1100100]', '[0000111]', '[1101000]', '[1001010]', '[0110000]']",['[1111111]']
223,11033,-15,"['[1100010]', '[0111000]', '[1110000]', '[1101000]', '[1010010]', '[0101010]', '[1011000]', '[0110010]', '[0011010]']",['[1111111]']
224,11037,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
225,11038,-15,"['[0000011]', '[0100001]', '[0111000]', '[0001001]', '[0100010]', '[0010010]', '[1000000]', '[0000100]', '[0001010]']",['[1111111]']
226,11047,-15,"['[1101100]', '[0000011]', '[0010001]', '[0100001]', '[0100010]', '[0010010]', '[0110000]']",['[1111111]']
227,11101,-15,"['[0000010]', '[0001000]', '[1000000]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
228,12001,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0010000]']",['[1111111]']
229,12008,-15,"['[0100110]', '[0100011]', '[0011011]', '[1000000]', '[0100101]', '[0101000]', '[0110000]']","['[1101111]', '[1011111]', '[0111111]']"
230,12031,-15,"['[0100110]', '[1001001]', '[0011100]', '[1000101]', '[0101100]', '[1011000]', '[1010100]', '[1000011]', '[0110100]', '[0001101]', '[1100001]', '[0010101]', '[0011010]', '[0001011]', '[1000110]', '[0111000]', '[1110000]', '[0001110]', '[0100011]', '[1010010]', '[0101001]', '[0101010]', '[1100100]', '[0110001]', '[0100101]', '[0011001]', '[1100010]', '[0000111]', '[1101000]', '[0010110]', '[1001010]', '[1010001]', '[1001100]']",['[1111111]']
231,12165,-15,"['[1010000]', '[1100000]', '[0000101]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
232,12204,-15,"['[0000010]', '[0011000]', '[0100000]']",['[1111111]']
233,13016,-15,"['[1000110]', '[1101010]', '[0101011]', '[0111100]', '[1010010]', '[0011011]', '[1111000]', '[0010110]', '[1101100]', '[0100111]', '[1100011]', '[1010100]', '[1001011]', '[0110011]', '[0001111]', '[0101110]', '[0111010]']",['[1111111]']
234,13028,-15,"['[0000100]', '[0100000]', '[0001000]', '[0010000]', '[1000000]', '[0000010]']","['[0011000]', '[1001001]', '[1110000]', '[1100001]', '[1101000]', '[1000101]', '[1010100]', '[1010001]', '[1100100]', '[1000011]', '[1001100]']"
235,13047,-15,"['[0111000]', '[1110010]', '[0101111]', '[1011011]', '[1101110]', '[1011101]', '[0110110]', '[0011111]', '[1011110]', '[1110100]']",['[1111111]']
236,13104,-15,"['[0000101]', '[0000010]', '[0001000]', '[1000000]', '[0100000]', '[0010000]']",['[1111111]']
237,13118,-15,"['[1101010]', '[0111000]', '[1110000]', '[0101011]', '[0011011]', '[0011100]', '[1100111]', '[1010111]', '[1011010]', '[0101100]', '[0110010]', '[0110100]']","['[1110111]', '[1111101]', '[1101111]', '[1111110]', '[1111011]', '[1011111]']"
238,13128,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
239,15010,-15,"['[0100110]', '[0011100]', '[1000101]', '[1100000]', '[0101100]', '[1011000]', '[1010100]', '[1001011]', '[0001111]', '[0011010]', '[1000110]', '[1010010]', '[0101001]', '[0101010]', '[0100101]', '[0010110]', '[1001100]', '[0110000]']","['[1111001]', '[1100111]', '[0110111]', '[0101111]', '[1111110]', '[1011101]', '[0011111]', '[1110011]', '[0111101]', '[1101101]', '[1101011]', '[0111011]', '[1010111]', '[1001111]', '[1110101]', '[1011011]']"
240,15022,-15,"['[0000011]', '[0011000]', '[0010001]', '[0001001]', '[0010010]', '[1000000]', '[0100000]', '[0001010]']",['[1111111]']
241,15028,-15,"['[0000101]', '[0000110]', '[0001001]', '[1000000]', '[0100000]', '[0001010]', '[0001100]', '[0010000]']","['[1111101]', '[1111011]', '[1111110]', '[0000111]']"
242,15030,-15,"['[0100110]', '[1100101]', '[1110011]', '[0011001]', '[0101101]', '[0111000]', '[0001110]', '[0000111]', '[0011100]', '[0010110]', '[1001101]', '[1010101]', '[0110101]', '[0011010]', '[1110100]']",['[1111111]']
243,15031,-15,"['[0001000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
244,15032,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']","['[1111001]', '[1100111]', '[0110111]', '[0101111]', '[1111110]', '[1011101]', '[0011111]', '[1110011]', '[0111101]', '[1101011]', '[0111011]', '[1010111]', '[1101101]', '[1001111]', '[1110101]', '[1011011]']"
245,15059,-15,"['[0001101]', '[0000011]', '[0011000]', '[0010001]', '[0000110]', '[0010010]', '[1000000]', '[0100000]', '[0001010]', '[0010100]']","['[1101111]', '[1011111]', '[1110111]', '[0111111]']"
246,15062,-15,"['[0000100]', '[0100000]', '[0011000]', '[0001001]', '[1010000]', '[0010001]', '[1000001]', '[1001000]', '[0000010]']","['[1111011]', '[1111100]']"
247,15064,-15,"['[1010000]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[1000010]', '[0001001]', '[0010010]', '[1000001]', '[0100000]', '[0001010]']","['[1011111]', '[0111111]']"
248,15070,-15,"['[1001001]', '[0011100]', '[1011000]', '[1010100]', '[0110100]', '[0000011]', '[1100001]', '[0010101]', '[1000010]', '[0111000]', '[1110000]', '[0100010]', '[0101001]', '[0010010]', '[0110001]', '[0011001]', '[0001010]', '[1101000]', '[1010001]']",['[1111111]']
249,15103,-15,"['[0100000]', '[0001010]', '[0001001]', '[0001100]', '[0000101]', '[0000110]', '[0010000]', '[1000000]', '[0000011]']","['[1000110]', '[0100110]', '[0100101]', '[0011001]', '[0111000]', '[1100010]', '[0001110]', '[0100011]', '[1001001]', '[0000111]', '[1100001]', '[0010011]', '[1010010]', '[0011100]', '[0010110]', '[0101001]', '[1000101]', '[0010101]', '[1001010]', '[0101010]', '[0101100]', '[1010100]', '[1011000]', '[1010001]', '[1100100]', '[0110001]', '[0110010]', '[1000011]', '[0011010]', '[1001100]', '[0110100]', '[0001101]', '[0001011]']"
250,15107,-15,"['[0000100]', '[0001000]', '[0000001]', '[0010000]', '[0000010]']",['[0011111]']
251,15120,-15,"['[0000100]', '[0100000]', '[0011000]', '[0010001]', '[1000000]', '[0000010]']","['[0101101]', '[0101011]', '[0011011]', '[1001101]', '[1001011]', '[0011101]']"
252,15127,-15,"['[1100101]', '[1010011]', '[1101001]', '[1001111]', '[1110010]', '[0111110]', '[1111000]', '[0101111]', '[0111001]', '[1010101]', '[1011100]', '[1100011]', '[0011111]', '[1100110]', '[1110001]', '[0110011]', '[0110101]', '[1011001]', '[1110100]', '[1010110]']",['[1111111]']
253,15129,-15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']","['[1101111]', '[1111011]', '[1110111]']"
254,16003,-15,"['[0000100]', '[0001000]', '[1110000]', '[1100001]', '[0100010]', '[0010010]', '[1000010]', '[1010001]', '[0110001]']","['[1110110]', '[1111001]', '[1110101]', '[1111010]', '[1111100]']"
255,16025,-15,"['[1110011]', '[0101101]', '[0111000]', '[1101100]', '[1011100]', '[0011110]', '[0101110]', '[0110100]', '[0011101]']",['[1111111]']
256,16029,-15,"['[0000101]', '[1000011]', '[0001000]', '[1100001]', '[1000100]', '[0000110]', '[0100011]', '[1100010]', '[0100100]', '[0010000]']","['[1100111]', '[1111011]', '[1101101]', '[1110101]']"
257,16121,-15,"['[0000101]', '[0000011]', '[0001000]', '[0010001]', '[0000110]', '[0010010]', '[1000000]', '[0100000]', '[0010100]']","['[0110111]', '[0101111]', '[0011111]', '[0111011]', '[1010111]', '[1001111]', '[1011011]']"
258,16122,-15,"['[1010000]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[1000100]', '[1000010]', '[0000110]', '[0100010]', '[0010010]', '[1000001]', '[0100101]', '[0001010]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']","['[1011111]', '[0111111]']"
259,16124,-15,"['[0011000]', '[0010001]', '[0010010]', '[1000000]', '[0100000]', '[0001010]', '[0000111]', '[0001100]', '[0010100]']","['[0111110]', '[1101110]', '[1011110]', '[0101111]', '[1011101]', '[0011111]', '[1110011]', '[0111101]', '[1101011]', '[0111011]', '[1101101]', '[1001111]', '[1110110]', '[1110101]', '[1011011]']"
260,16140,-15,"['[0000100]', '[0100000]', '[0001000]', '[0000001]', '[0010000]', '[1000000]', '[0000010]']","['[0010111]', '[1000111]', '[0100111]', '[0001111]']"
261,17127,-15,"['[1100101]', '[0010111]', '[0011000]', '[1010000]', '[1000111]', '[1100011]', '[0110110]', '[1100110]', '[1001000]', '[0110011]', '[0110101]', '[0101110]']",['[1111111]']
262,21023,-15,"['[0000100]', '[0011000]', '[0001001]', '[0010001]', '[0100001]', '[0101000]', '[0110000]', '[0000010]']","['[0111101]', '[0111110]', '[0111011]']"
263,21032,-15,"['[0000100]', '[0001000]', '[0000001]', '[0010000]', '[1000000]', '[0000010]']","['[1011010]', '[1011101]']"
264,21107,-15,"['[0011001]', '[1010000]', '[0011100]', '[0100001]', '[1100000]', '[0101000]', '[1000001]', '[0010101]', '[1001000]', '[0110000]', '[0001101]']",['[1111101]']
265,21310,-15,"['[0100000]', '[1010000]', '[0000001]', '[1000100]', '[0010010]', '[1000010]', '[0010100]', '[0000110]']","['[1100111]', '[1010111]']"
266,21311,-15,"['[1110011]', '[1100111]', '[0110111]', '[1110110]', '[1110101]']",['[1111111]']
