,station,sign,frontiere_bas,frontiere_haut
31,13116,15,"['[0100110]', '[1001001]', '[0011100]', '[1000101]', '[0101100]', '[1011000]', '[1010100]', '[1000011]', '[0110100]', '[0001101]', '[1100001]', '[0010101]', '[0110010]', '[0011010]', '[0001011]', '[1000110]', '[0111000]', '[1110000]', '[0001110]', '[1010010]', '[0101001]', '[0101010]', '[1100100]', '[0110001]', '[0100101]', '[0011001]', '[1100010]', '[0000111]', '[1101000]', '[0010011]', '[0010110]', '[1001010]', '[1010001]', '[1001100]']",['[1111111]']
32,13117,15,"['[0100110]', '[1001001]', '[0011100]', '[1000101]', '[0101100]', '[1011000]', '[1010100]', '[1000011]', '[0110100]', '[0001101]', '[1100001]', '[0010101]', '[0110010]', '[0011010]', '[0001011]', '[1000110]', '[0111000]', '[1110000]', '[0001110]', '[0100011]', '[1010010]', '[0101001]', '[0101010]', '[1100100]', '[0110001]', '[0100101]', '[0011001]', '[1100010]', '[0000111]', '[1101000]', '[0010011]', '[0010110]', '[1001010]', '[1010001]', '[1001100]']",['[1111111]']
33,13515,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0010000]']",['[1111111]']
34,14002,15,"['[0100110]', '[1001001]', '[0011100]', '[1000101]', '[0101100]', '[1011000]', '[1010100]', '[1000011]', '[0110100]', '[0001101]', '[1100001]', '[0010101]', '[0110010]', '[0011010]', '[0001011]', '[1000110]', '[0111000]', '[1110000]', '[0001110]', '[0100011]', '[1010010]', '[0101001]', '[0101010]', '[1100100]', '[0110001]', '[0100101]', '[0011001]', '[1100010]', '[0000111]', '[1101000]', '[0010011]', '[0010110]', '[1001010]', '[1010001]', '[1001100]']",['[1111111]']
35,14003,15,"['[1010000]', '[1100000]', '[0000101]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
36,14005,15,"['[0011000]', '[1000000]', '[0101000]', '[0110000]']",['[1111111]']
37,14010,15,"['[0100110]', '[0011100]', '[0101100]', '[1010100]', '[0110100]', '[0110010]', '[0011010]', '[1000110]', '[0111000]', '[1110000]', '[0001110]', '[0101010]', '[1100100]', '[1100010]', '[1101000]', '[0010110]', '[1001010]', '[1001100]']",['[1111111]']
38,14012,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
39,14014,15,"['[0000011]', '[0010001]', '[0100001]', '[0100010]', '[0010010]', '[1000000]', '[0000100]', '[0101000]', '[0110000]']",['[1111111]']
40,14016,15,"['[1010000]', '[1100000]', '[0000101]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
41,14021,15,"['[1010000]', '[1100000]', '[1001000]', '[0011000]', '[1000010]', '[0001011]', '[0100010]', '[0010010]', '[0101000]', '[0110000]']",['[1111111]']
42,14022,15,"['[0000010]', '[0001000]', '[1000000]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
43,14023,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
44,14025,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
45,14027,15,"['[1100000]', '[1011000]', '[0110010]', '[0011010]', '[0001011]', '[0111000]', '[0100011]', '[1010010]', '[0101001]', '[1000001]', '[0101010]', '[0110001]', '[0011001]', '[0010011]', '[1001010]']",['[1111111]']
46,14030,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
47,14036,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
48,14104,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
49,14108,15,"['[0000100]', '[0100000]', '[0001000]', '[0000001]', '[0010000]', '[0000010]']",['[0111111]']
50,14113,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
51,14117,15,"['[0100110]', '[1001101]', '[1011000]', '[1000011]', '[1100001]', '[1010101]', '[0110010]', '[0011010]', '[0001011]', '[0111000]', '[1110000]', '[0100011]', '[1010010]', '[0101001]', '[0101010]', '[0110001]', '[0011001]', '[1100010]', '[1101000]', '[0010011]', '[1001010]']",['[1111111]']
52,14127,15,"['[1110001]', '[0000011]', '[1101001]', '[0111001]', '[1011001]', '[1111000]', '[0010010]', '[1101010]', '[0000100]']",['[1111111]']
53,14128,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
54,14131,15,"['[1100000]', '[1001000]', '[0000010]', '[0011000]', '[1000100]', '[0100100]', '[0001100]', '[0000001]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
55,14133,15,"['[1010000]', '[1100000]', '[0000101]', '[1001000]', '[0000011]', '[0011000]', '[0010001]', '[0100001]', '[1000100]', '[1000010]', '[0000110]', '[0001001]', '[0100010]', '[0010010]', '[1000001]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
56,14135,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
57,14136,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
58,14138,15,"['[1100000]', '[0000101]', '[1001000]', '[0000010]', '[0011000]', '[0010001]', '[0100001]', '[0001001]', '[0100100]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
59,14139,15,"['[0000010]', '[0001000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
60,15045,15,"['[1010000]', '[1100000]', '[1001000]', '[0000010]', '[0011000]', '[1000100]', '[0100100]', '[0001100]', '[0010100]']",['[1111111]']
61,15047,15,"['[0000010]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
62,15114,15,"['[0000101]', '[1001000]', '[0000011]', '[0011000]', '[1000100]', '[1000010]', '[0000110]', '[0110010]', '[1110000]', '[0001001]', '[1000001]', '[0110001]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010100]']",['[1111111]']
63,16013,15,"['[1100000]', '[1001000]', '[1000100]', '[1000010]', '[0000110]', '[0100010]', '[0001010]', '[0100100]', '[0001100]', '[0101000]', '[0010000]']",['[1111111]']
64,16027,15,"['[1010000]', '[0011100]', '[1100000]', '[0101100]', '[1001000]', '[0001101]', '[0010101]', '[1000010]', '[0001011]', '[0001110]', '[0100010]', '[0101001]', '[0010010]', '[1000001]', '[0100101]', '[0011001]', '[0000111]', '[0110000]']",['[1111111]']
