,station,sign,station_code,latitude,longitude
0,8012,15,8012,48.883474535757,2.326493114233
1,8020,15,8020,48.882164014664,2.3198529705405
2,9004,15,9004,48.88294340845,2.3464846238494
3,9005,15,9005,48.882633484311,2.3448844062122
4,9037,15,9037,48.881266424227,2.3281970934506
5,9038,15,9038,48.88320784122797,2.3308449949028507
6,9118,15,9118,48.882555807626765,2.3497482016682625
7,10015,15,10015,48.87433037756048,2.3621229082345963
8,10033,15,10033,48.880955741648,2.3524305148385
9,10036,15,10036,48.883886063895,2.367198803315
10,11010,15,11010,48.849259262115,2.3917546141943
11,11017,15,11017,48.854176,2.396093
12,11201,15,11201,48.8487726,2.393606
13,12015,15,12015,48.846821681548,2.4001130461693
14,12020,15,12020,48.846918761569,2.4105220288038
15,12040,15,12040,48.831240105856,2.3989107459784
16,12041,15,12041,48.8338064,2.4132221
17,12119,15,12119,48.825481574435,2.409880310297
18,12120,15,12120,48.82774555743318,2.418365478515625
19,12122,15,12122,48.83544491617421,2.431421081436563
20,12126,15,12126,48.824407,2.418455
21,12128,15,12128,48.82237977153955,2.4586871266365056
22,12129,15,12129,48.838751246689455,2.4605489149689674
23,12163,15,12163,48.82048387758518,2.446271181106568
24,13008,15,13008,48.831908520394,2.3546943448098
25,13017,15,13017,48.83252708397293,2.362354410392119
26,13023,15,13023,48.828657346203,2.353020646317
27,13026,15,13026,48.823316,2.354336
28,13041,15,13041,48.821768747596,2.3688706755638
29,13106,15,13106,48.829899841747,2.3543356766749
30,13113,15,13113,48.82365543660611,2.3615723848342896
31,13116,15,13116,48.82010494991975,2.3725583776831627
32,13117,15,13117,48.820482438381,2.3668321967125
33,13515,15,13515,48.831151602964,2.343822196126
34,14002,15,14002,48.83940266673835,2.32971478253603
35,14003,15,14003,48.83681733526843,2.3312794080411474
36,14005,15,14005,48.833056477316,2.3329411447048
37,14010,15,14010,48.82764910241,2.3261967301369
38,14012,15,14012,48.826701758539215,2.3384983465075493
39,14014,15,14014,48.819428333369,2.3433353751898
40,14016,15,14016,48.82479134498032,2.336124926805496
41,14021,15,14021,48.8242469,2.3186306
42,14022,15,14022,48.82650543613106,2.313136198271666
43,14023,15,14023,48.8236825874564,2.3077843710780144
44,14025,15,14025,48.82953336292279,2.318179272115231
45,14027,15,14027,48.83088717455243,2.318882101207347
46,14030,15,14030,48.834254627953,2.317609339387
47,14036,15,14036,48.83446472680611,2.3293386027216907
48,14104,15,14104,48.83329880233322,2.3173383995890617
49,14108,15,14108,48.82234096593411,2.327861653302471
50,14113,15,14113,48.83507657562064,2.3415737262044938
51,14117,15,14117,48.839203843292,2.3208839446306
