,station,sign,station_code,latitude,longitude
0,46001,15,46001,48.7672039733195,2.4144977331161503
1,20205,15,20205,48.870493041975,2.404957212224
2,21328,15,21328,48.816376985087,2.2670380088932
3,12128,15,12128,48.82237977153955,2.4586871266365056
4,20033,15,20033,48.86798303359366,2.3851405311143026
5,21032,-15,21032,48.837809408957,2.2281519323587
6,11101,-15,11101,48.85242200848887,2.380632497370243
7,13104,-15,13104,48.84369030864,2.3657163977623
8,15032,-15,15032,48.83868901709515,2.2818081825971603
9,4003,-15,4003,48.852915956209,2.3521957173944
